OPEN
537,638,737
1009,1111,1211
1524,1628,1730
2089,2195,2299
2712,2821,2928
3401,3514,3625
4167,4286,4403
5025,5152,5277
5990,6129,6265
7088,7241,7392
8346,8519,8691
9800,10000,10200
11502,11739,11978
13521,13810,14103
15954,16316,16686
18943,19412,19897
22703,23333,23992
27578,28462,29400
34149,35455,36868
43485,45556,47848
57800,61429,65586
82527,90000,99089
135514,156667,186200
